Date,Close
1/3/2012 16:00:00,74.22
1/4/2012 16:00:00,74.33
1/5/2012 16:00:00,73.53
1/6/2012 16:00:00,73.98
1/9/2012 16:00:00,74.53
1/10/2012 16:00:00,75
1/11/2012 16:00:00,74.74
1/12/2012 16:00:00,75.51
1/13/2012 16:00:00,74.6
1/17/2012 16:00:00,75.24
1/18/2012 16:00:00,75.06
1/19/2012 16:00:00,75.56
1/20/2012 16:00:00,75.52
1/23/2012 16:00:00,75.51
1/24/2012 16:00:00,75.36
1/25/2012 16:00:00,75.82
1/26/2012 16:00:00,75.31
1/27/2012 16:00:00,74.55
1/30/2012 16:00:00,74.16
1/31/2012 16:00:00,74.18
2/1/2012 16:00:00,75.37
2/2/2012 16:00:00,75.22
2/3/2012 16:00:00,76.34
2/6/2012 16:00:00,75.46
2/7/2012 16:00:00,75.2
2/8/2012 16:00:00,75.46
2/9/2012 16:00:00,75.9
2/10/2012 16:00:00,74.95
2/13/2012 16:00:00,74.85
2/14/2012 16:00:00,75.56
2/15/2012 16:00:00,75.21
2/16/2012 16:00:00,75.27
2/17/2012 16:00:00,75.35
2/21/2012 16:00:00,75.72
2/22/2012 16:00:00,76.06
2/23/2012 16:00:00,75.85
2/24/2012 16:00:00,76.06
2/27/2012 16:00:00,75.21
2/28/2012 16:00:00,75.16
2/29/2012 16:00:00,74.95
3/1/2012 16:00:00,75.08
3/2/2012 16:00:00,74.9
3/5/2012 16:00:00,74.13
3/6/2012 16:00:00,72.56
3/7/2012 16:00:00,73.52
3/8/2012 16:00:00,74.17
3/9/2012 16:00:00,73.29
3/12/2012 16:00:00,73.6
3/13/2012 16:00:00,74.31
3/14/2012 16:00:00,75.23
3/15/2012 16:00:00,75.43
3/16/2012 16:00:00,75.2
3/19/2012 16:00:00,75.4
3/20/2012 16:00:00,75.14
3/21/2012 16:00:00,75.01
3/22/2012 16:00:00,73.92
3/23/2012 16:00:00,73.97
3/26/2012 16:00:00,75.18
3/27/2012 16:00:00,74.81
3/28/2012 16:00:00,74.33
3/29/2012 16:00:00,74.08
3/30/2012 16:00:00,74.37
4/2/2012 16:00:00,75.17
4/3/2012 16:00:00,74.65
4/4/2012 16:00:00,73.67
4/5/2012 16:00:00,73.59
4/9/2012 16:00:00,72.43
4/10/2012 16:00:00,70.6
4/11/2012 16:00:00,71.77
4/12/2012 16:00:00,73.5
4/13/2012 16:00:00,72.92
4/16/2012 16:00:00,72.68
4/17/2012 16:00:00,74.09
4/18/2012 16:00:00,73.71
4/19/2012 16:00:00,73.1
4/20/2012 16:00:00,73.55
4/23/2012 16:00:00,72.86
4/24/2012 16:00:00,73.21
4/25/2012 16:00:00,77.08
4/26/2012 16:00:00,76.99
4/27/2012 16:00:00,77.27
4/30/2012 16:00:00,76.8
5/1/2012 16:00:00,77.25
5/2/2012 16:00:00,77.26
5/3/2012 16:00:00,76.83
5/4/2012 16:00:00,75.84
5/7/2012 16:00:00,75.96
5/8/2012 16:00:00,75.4
5/9/2012 16:00:00,74.05
5/10/2012 16:00:00,73.8
5/11/2012 16:00:00,73.56
5/14/2012 16:00:00,73.12
5/15/2012 16:00:00,72.58
5/16/2012 16:00:00,72.35
5/17/2012 16:00:00,69.73
5/18/2012 16:00:00,69.15
5/21/2012 16:00:00,71.78
5/22/2012 16:00:00,71.48
5/23/2012 16:00:00,71.48
5/24/2012 16:00:00,71.39
5/25/2012 16:00:00,70
5/29/2012 16:00:00,70.4
5/30/2012 16:00:00,69.39
5/31/2012 16:00:00,69.61
6/1/2012 16:00:00,67.24
6/4/2012 16:00:00,67.5
6/5/2012 16:00:00,67.58
6/6/2012 16:00:00,69.02
6/7/2012 16:00:00,69.95
6/8/2012 16:00:00,69.94
6/11/2012 16:00:00,70.11
6/12/2012 16:00:00,72.58
6/13/2012 16:00:00,72.06
6/14/2012 16:00:00,71.85
6/15/2012 16:00:00,71.99
6/18/2012 16:00:00,71.9
6/19/2012 16:00:00,72.92
6/20/2012 16:00:00,73.01
6/21/2012 16:00:00,71.37
6/22/2012 16:00:00,71.96
6/25/2012 16:00:00,71.05
6/26/2012 16:00:00,70.93
6/27/2012 16:00:00,71.87
6/28/2012 16:00:00,71.58
6/29/2012 16:00:00,74.3
7/2/2012 16:00:00,73.18
7/3/2012 16:00:00,74.27
7/5/2012 16:00:00,74.44
7/6/2012 16:00:00,73.69
7/9/2012 16:00:00,74.03
7/10/2012 16:00:00,73.22
7/11/2012 16:00:00,71.52
7/12/2012 16:00:00,71.71
7/13/2012 16:00:00,73.51
7/16/2012 16:00:00,72.97
7/17/2012 16:00:00,73.11
7/18/2012 16:00:00,73.89
7/19/2012 16:00:00,74.86
7/20/2012 16:00:00,73.89
7/23/2012 16:00:00,72.91
7/24/2012 16:00:00,72.03
7/25/2012 16:00:00,74.03
7/26/2012 16:00:00,74.91
7/27/2012 16:00:00,75.51
7/30/2012 16:00:00,74.86
7/31/2012 16:00:00,73.91
8/1/2012 16:00:00,72.77
8/2/2012 16:00:00,71.99
8/3/2012 16:00:00,72.81
8/6/2012 16:00:00,72.89
8/7/2012 16:00:00,74.46
8/8/2012 16:00:00,74.6
8/9/2012 16:00:00,74.28
8/10/2012 16:00:00,74.21
8/13/2012 16:00:00,74.19
8/14/2012 16:00:00,73.81
8/15/2012 16:00:00,73.07
8/16/2012 16:00:00,73.64
8/17/2012 16:00:00,73.91
8/20/2012 16:00:00,73.83
8/21/2012 16:00:00,73.27
8/22/2012 16:00:00,72.8
8/23/2012 16:00:00,70.36
8/24/2012 16:00:00,71.09
8/27/2012 16:00:00,71.38
8/28/2012 16:00:00,71.52
8/29/2012 16:00:00,71.44
8/30/2012 16:00:00,70.82
8/31/2012 16:00:00,71.4
9/4/2012 16:00:00,70.87
9/5/2012 16:00:00,71.92
9/6/2012 16:00:00,72.82
